,location,date,Alpha,B.1.1.277,B.1.1.302,B.1.1.519,B.1.160,B.1.177,B.1.221,B.1.258,B.1.367,B.1.620,Beta,Delta,Epsilon,Eta,Gamma,Iota,Kappa,Lambda,Mu,Omicron,S:677H.Robin1,S:677P.Pelican,non_who,others
47,Australia,2020-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
48,Australia,2020-06-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
49,Australia,2020-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
50,Australia,2020-07-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
51,Australia,2020-08-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
52,Australia,2020-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
53,Australia,2020-08-31,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.85
54,Australia,2020-09-14,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.74
55,Australia,2020-09-28,0.0,0.0,0.0,0.0,0.31,0.31,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.07
56,Australia,2020-10-12,0.0,0.0,0.0,0.0,0.0,1.09,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,97.81
57,Australia,2020-10-26,0.0,0.0,0.0,0.0,1.5,3.76,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,93.99
58,Australia,2020-12-21,4.2,0.0,0.0,0.0,0.0,2.1,0.0,1.4,0.0,0.0,1.4,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.4,91.6,86.0
59,Australia,2021-01-04,13.52,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,4.27,0.0,3.2,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,78.65,75.09
60,Australia,2021-01-25,44.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,42.0
61,Australia,2021-03-22,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,0.0,5.74,0.82,0.0,0.82,0.82,0.82,1.64,0.0,0.0,0.0,0.0,0.0,39.34,38.52
62,Australia,2021-04-05,54.47,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,7.32,2.44,0.0,1.63,1.63,0.0,1.63,0.81,0.0,0.0,0.0,0.0,30.07,29.26
63,Australia,2021-04-19,46.5,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,12.74,21.66,0.64,1.27,1.27,0.0,11.46,0.0,0.0,0.0,0.0,0.0,4.46,3.82
64,Australia,2021-05-03,30.88,0.0,0.0,2.45,0.0,0.0,0.0,0.0,0.0,0.0,3.92,41.67,0.0,0.0,0.98,0.49,8.33,0.0,0.0,0.0,0.0,0.0,13.73,11.28
65,Australia,2021-05-17,41.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.52,39.5,0.0,4.2,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,8.4,8.4
66,Australia,2021-05-31,12.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,17.59,0.0,0.93,0.0,0.93,60.19,0.0,0.0,0.0,0.0,0.0,4.62,4.62
67,Australia,2021-06-14,17.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,42.14,0.0,0.71,0.0,0.0,27.14,0.0,0.71,0.0,0.0,0.0,5.73,5.73
68,Australia,2021-06-28,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,84.65,0.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,0.0,2.76,2.76
69,Australia,2021-07-12,3.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,95.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.52
70,Australia,2021-07-26,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Australia,2021-08-09,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
