,location,date,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,excess_mortality_count_week,excess_mortality_count_week_pm,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k
14068,Liechtenstein,2021-07-05,,,,,,,44.9879140746244,44.9879140746244,44.9879140746244,117.60316326299,117.60316326299,117.60316326299
14069,Liechtenstein,2021-07-12,,,,,,,45.7294529587068,45.7294529587068,45.7294529587068,119.541624297346,119.541624297346,119.541624297346
14070,Liechtenstein,2021-07-19,,,,,,,46.4709918427893,46.4709918427893,46.4709918427893,121.480085331702,121.480085331702,121.480085331702
14071,Liechtenstein,2021-07-26,,,,,,,47.2125307268717,47.2125307268717,47.2125307268717,123.418546366058,123.418546366058,123.418546366058
14072,Liechtenstein,2021-07-31,16.07,12.23,52.2,1364.56318293512,3.6,94.1078057196633,,,,,,
14073,Liechtenstein,2021-08-02,,,,,,,46.3734244496639,46.3734244496639,46.3734244496639,121.22503385179,121.22503385179,121.22503385179
14074,Liechtenstein,2021-08-09,,,,,,,45.534318172456,45.534318172456,45.534318172456,119.031521337523,119.031521337523,119.031521337523
14075,Liechtenstein,2021-08-16,,,,,,,44.6952118952481,44.6952118952481,44.6952118952481,116.838008823255,116.838008823255,116.838008823255
14076,Liechtenstein,2021-08-23,,,,,,,43.8561056180403,43.8561056180403,43.8561056180403,114.644496308988,114.644496308988,114.644496308988
14077,Liechtenstein,2021-08-30,,,,,,,43.0169993408324,43.0169993408324,43.0169993408324,112.45098379472,112.45098379472,112.45098379472
14078,Liechtenstein,2021-08-31,-14.53,10.84,48.8,1275.68358864432,-3.4,-88.8795942907931,,,,,,
14079,Liechtenstein,2021-09-06,,,,,,,42.1116565044847,42.1116565044847,42.1116565044847,110.084321912701,110.084321912701,110.084321912701
14080,Liechtenstein,2021-09-13,,,,,,,41.2063136681371,41.2063136681371,41.2063136681371,107.717660030682,107.717660030682,107.717660030682
14081,Liechtenstein,2021-09-20,,,,,,,40.3009708317894,40.3009708317894,40.3009708317894,105.350998148663,105.350998148663,105.350998148663
14082,Liechtenstein,2021-09-27,,,,,,,39.3956279954418,39.3956279954418,39.3956279954418,102.984336266643,102.984336266643,102.984336266643
14083,Liechtenstein,2021-09-30,-16.67,9.58,45.2,1181.57578292466,-3.6,-94.1078057196633,,,,,,
14084,Liechtenstein,2021-10-04,,,,,,,38.6016830085565,38.6016830085565,38.6016830085565,100.908880139479,100.908880139479,100.908880139479
14085,Liechtenstein,2021-10-11,,,,,,,37.8077380216712,37.8077380216712,37.8077380216712,98.8334240123155,98.8334240123155,98.8334240123155
14086,Liechtenstein,2021-10-18,,,,,,,37.0137930347859,37.0137930347859,37.0137930347859,96.7579678851516,96.7579678851516,96.7579678851516
14087,Liechtenstein,2021-10-25,,,,,,,36.2198480479006,36.2198480479006,36.2198480479006,94.6825117579877,94.6825117579877,94.6825117579877
14088,Liechtenstein,2021-10-31,-13.79,8.48,42.0,1097.92440006274,-3.2,-83.6513828619229,,,,,,
14089,Liechtenstein,2021-11-01,,,,,,,36.6678385448863,36.6678385448863,36.6678385448863,95.8536062761705,95.8536062761705,95.8536062761705
14090,Liechtenstein,2021-11-08,,,,,,,37.115829041872,37.115829041872,37.115829041872,97.0247007943534,97.0247007943534,97.0247007943534
14091,Liechtenstein,2021-11-15,,,,,,,37.5638195388576,37.5638195388576,37.5638195388576,98.1957953125363,98.1957953125363,98.1957953125363
14092,Liechtenstein,2021-11-22,,,,,,,38.0118100358433,38.0118100358433,38.0118100358433,99.3668898307192,99.3668898307192,99.3668898307192
14093,Liechtenstein,2021-11-29,,,,,,,38.459800532829,38.459800532829,38.459800532829,100.537984348902,100.537984348902,100.537984348902
14094,Liechtenstein,2021-11-30,9.65,8.54,44.2,1155.43472578031,2.2,57.510325717572,,,,,,
14095,Liechtenstein,2021-12-06,,,,,,,38.930371674976,38.930371674976,38.930371674976,101.768107060637,101.768107060637,101.768107060637
14096,Liechtenstein,2021-12-13,,,,,,,39.4009428171229,39.4009428171229,39.4009428171229,102.998229772371,102.998229772371,102.998229772371
14097,Liechtenstein,2021-12-20,,,,,,,39.8715139592699,39.8715139592699,39.8715139592699,104.228352484106,104.228352484106,104.228352484106
14098,Liechtenstein,2021-12-27,,,,,,,40.3420851014169,40.3420851014169,40.3420851014169,105.458475195841,105.458475195841,105.458475195841
14099,Liechtenstein,2021-12-31,10.62,8.62,46.6,1218.17326292675,2.4,62.7385371464422,,,,,,
14100,Liechtenstein,2022-01-03,,,,,,,41.6286938462078,44.8805291890018,41.3693225089065,108.821806467841,117.322447819841,108.143782372841
14101,Liechtenstein,2022-01-10,,,,,,,42.3061994754637,48.2838512646443,41.673963832554,110.592877804841,126.219091505841,108.940146997841
14102,Liechtenstein,2022-01-17,,,,,,,43.4375132343792,53.1037107877021,42.3641279999927,113.550251566841,138.818713827841,110.744309091841
14103,Liechtenstein,2022-01-24,,,,,,,44.9975076869682,56.2339873085843,42.5424626665771,117.628241979841,147.001587568841,111.210494762841
14104,Liechtenstein,2022-01-31,,,,,,,46.5575021395572,59.6865124697369,42.3753872535254,121.706232392841,156.026853321841,110.773741970841
14105,Lithuania,2020-03-01,-1.19,-7.22,-547.9,-203.690746960253,-9.7,-3.60613295403259,,,,,,
14106,Lithuania,2020-03-02,,,,,,,-279.845692884122,-279.845692884122,-279.845692884122,-10.4037193314795,-10.4037193314795,-10.4037193314795
14107,Lithuania,2020-03-08,-2.58,-6.78,-568.4,-211.311955780631,-20.5,-7.62120882037815,,,,,,
14108,Lithuania,2020-03-09,,,,,,,-270.466760299887,-270.466760299887,-270.466760299887,-10.055042240081,-10.055042240081,-10.055042240081
